Station,Entries,Latitude,Longitude,Year
Keon Park,133550,-37.69487012,145.0118838,2023
Keon Park,293800,-37.69487012,145.0118838,2024
Kooyong,257850,-37.83992894,145.0335516,2023
Kooyong,233000,-37.83992894,145.0335516,2024
Laburnum,291150,-37.82078023,145.1407027,2023
Laburnum,316900,-37.82078023,145.1407027,2024
Lalor,446900,-37.66585075,145.0171932,2023
Lalor,494550,-37.66585075,145.0171932,2024
Laverton,596350,-37.86369404,144.7726167,2020
Laverton,912600,-37.86369404,144.7726167,2023
Laverton,892250,-37.86369404,144.7726167,2024
Leawarra,5150,-38.152034,145.139534,2023
Leawarra,5500,-38.152034,145.139534,2024
Lilydale,410150,-37.75551777,145.3477102,2023
Lilydale,512300,-37.75551777,145.3477102,2024
Lynbrook,393250,-38.05734118,145.2492751,2023
Lynbrook,407450,-38.05734118,145.2492751,2024
Macaulay,279350,-37.79426673,144.9361663,2023
Macaulay,303550,-37.79426673,144.9361663,2024
Macleod,382150,-37.7260123,145.0691433,2023
Macleod,314850,-37.7260123,145.0691433,2024
Malvern,612550,-37.8662533,145.0292939,2023
Malvern,703650,-37.8662533,145.0292939,2024
McKinnon,369950,-37.91030903,145.038299,2024
Mckinnon,307050,-37.91030903,145.038299,2023
Melbourne Central,4206700,-37.80993877,144.9625935,2020
Melbourne Central,11176650,-37.80993877,144.9625935,2023
Melbourne Central,11876900,-37.80993877,144.9625935,2024
Mentone,362550,-37.9818654,145.0651659,2020
Mentone,670400,-37.9818654,145.0651659,2023
Mentone,583650,-37.9818654,145.0651659,2024
Merinda Park,510450,-38.07900048,145.2635114,2023
Merinda Park,577750,-38.07900048,145.2635114,2024
Merlynston,257800,-37.72093389,144.9613135,2023
Merlynston,284100,-37.72093389,144.9613135,2024
Mernda,710550,-37.602549,145.100883,2023
Mernda,662700,-37.602549,145.100883,2024
Merri,146100,-37.77784668,144.9929725,2023
Merri,147850,-37.77784668,144.9929725,2024
Middle Brighton,526150,-37.91513441,144.9962991,2023
Middle Brighton,512250,-37.91513441,144.9962991,2024
Middle Footscray,201800,-37.8025047,144.8914721,2023
Middle Footscray,190800,-37.8025047,144.8914721,2024
Middle Gorge,203450,-37.644062,145.09214,2023
Middle Gorge,222950,-37.644062,145.09214,2024
Mitcham,401050,-37.81800987,145.1919735,2020
Mitcham,833250,-37.81800987,145.1919735,2023
Mitcham,925550,-37.81800987,145.1919735,2024
Montmorency,192650,-37.71529624,145.1215157,2023
Montmorency,175700,-37.71529624,145.1215157,2024
Moonee Ponds,362450,-37.76570666,144.9191607,2020
Moonee Ponds,759550,-37.76570666,144.9191607,2023
Moonee Ponds,782550,-37.76570666,144.9191607,2024
Moorabbin,524250,-37.93435329,145.0367383,2023
Moorabbin,520000,-37.93435329,145.0367383,2024
Mooroolbark,465850,-37.78474883,145.3124024,2023
Mooroolbark,569250,-37.78474883,145.3124024,2024
Mordialloc,538700,-38.00658295,145.0876594,2023
Mordialloc,529850,-38.00658295,145.0876594,2024
Moreland,268250,-37.75448484,144.961823,2023
Moreland,273050,-37.75448484,144.961823,2024
Morradoo,3600,-38.35403334,145.1896025,2023
Morradoo,3400,-38.35403334,145.1896025,2024
Mount Waverley,652600,-37.87525526,145.1280557,2023
Mount Waverley,658250,-37.87525526,145.1280557,2024
Murrumbeena,714250,-37.89019832,145.0673749,2023
Murrumbeena,712400,-37.89019832,145.0673749,2024
Narre Warren,268150,-38.02780932,145.3039694,2023
Narre Warren,522200,-38.02780932,145.3039694,2024
Newmarket,598050,-37.78732767,144.9289785,2023
Newmarket,600650,-37.78732767,144.9289785,2024
Newport,497600,-37.84271757,144.8835999,2020
Newport,1231700,-37.84271757,144.8835999,2023
Newport,1245950,-37.84271757,144.8835999,2024
Noble Park,513650,-37.96723193,145.1769357,2020
Noble Park,1001850,-37.96723193,145.1769357,2023
Noble Park,993800,-37.96723193,145.1769357,2024
North Brighton,524650,-37.90488721,145.002605,2023
North Brighton,502000,-37.90488721,145.002605,2024
North Melbourne,669700,-37.80630984,144.9415102,2020
North Melbourne,1220400,-37.80630984,144.9415102,2023
North Melbourne,1394050,-37.80630984,144.9415102,2024
North Richmond,609400,-37.81039836,144.9925003,2023
North Richmond,608300,-37.81039836,144.9925003,2024
North Williamstown,260900,-37.85733348,144.8890695,2023
North Williamstown,271600,-37.85733348,144.8890695,2024
Northcote,278000,-37.76986537,144.9952772,2023
Northcote,293050,-37.76986537,144.9952772,2024
Nunawading,390550,-37.82060317,145.1748917,2020
Nunawading,672750,-37.82060317,145.1748917,2023
Nunawading,758050,-37.82060317,145.1748917,2024
Oak Park,437000,-37.71794973,144.9215188,2023
Oak Park,418000,-37.71794973,144.9215188,2024
Oakleigh,763050,-37.90037214,145.0883079,2020
Oakleigh,1555100,-37.90037214,145.0883079,2023
Oakleigh,1624200,-37.90037214,145.0883079,2024
Officer,163300,-38.06614572,145.4109872,2023
Officer,208600,-38.06614572,145.4109872,2024
Ormond,456750,-37.90321167,145.0396134,2023
Ormond,539450,-37.90321167,145.0396134,2024
Pakenham,451700,-38.08061397,145.4863791,2023
Pakenham,495750,-38.08061397,145.4863791,2024
