SA2_CODE_2021,PT_Total,Commuted_Total,PT_percent
207031163,1106,6609,16.734755636253592
207031164,463,4960,9.33467741935484
207031165,415,3445,12.046444121915819
207031166,246,2976,8.266129032258064
207031167,248,2435,10.184804928131417
208011168,97,3270,2.9663608562691133
208011169,372,4824,7.711442786069651
208011170,174,3633,4.789430222956235
208011171,236,3140,7.515923566878981
208011172,303,4098,7.393850658857979
208011173,222,3927,5.653170359052712
208021174,623,6244,9.977578475336323
208021176,873,5273,16.556040204816995
208021177,648,5744,11.28133704735376
208021178,384,4499,8.535230051122472
208021179,381,2964,12.854251012145749
208021180,327,2175,15.03448275862069
208021181,356,2647,13.449187759727993
208021182,619,3723,16.62637657802847
208021426,224,4394,5.097860719162494
208021427,169,3840,4.401041666666667
208031183,85,2875,2.9565217391304346
208031184,0,14,0.0
208031185,148,3980,3.7185929648241203
208031186,206,4480,4.5982142857142865
208031187,45,1669,2.696225284601558
208031188,415,6727,6.169169020365691
208031189,217,3878,5.595667870036101
208031190,265,3822,6.933542647828363
208031191,167,2625,6.3619047619047615
208031192,0,3,0.0
208031193,316,6154,5.134871628209295
208041194,675,5152,13.10170807453416
208041195,658,5605,11.739518287243532
209011196,195,3066,6.360078277886497
209011197,336,5766,5.82726326742976
209011198,418,4076,10.255152109911677
209011199,290,4328,6.700554528650647
209011200,295,3252,9.071340713407135
209011201,131,2013,6.507699950322901
209011202,194,4471,4.339074032654887
209011203,327,5004,6.534772182254196
209011204,201,2666,7.5393848462115525
209021205,309,3340,9.251497005988025
209021428,810,6100,13.278688524590162
209021429,428,3347,12.787570959067823
209021523,530,4497,11.78563486768957
209021524,176,2706,6.504065040650407
209021525,349,3580,9.748603351955307
209021526,536,4128,12.984496124031008
209031209,258,6341,4.068758870840561
209031210,42,1125,3.733333333333334
209031211,10,1403,0.7127583749109052
209031212,9,1592,0.5653266331658292
209031213,70,3004,2.330226364846871
209031214,53,1931,2.7446918694976694
209031215,152,4791,3.1726153203924023
209041216,117,2372,4.9325463743676226
209041217,98,2002,4.895104895104895
209041220,251,6025,4.16597510373444
209041221,145,3782,3.8339502908514014
209041223,460,5899,7.797931852856416
209041224,155,8133,1.9058158121234476
209041225,82,3526,2.3255813953488373
209041431,193,4228,4.56480605487228
209041432,269,2649,10.154775386938468
209041433,192,4087,4.697822363591877
209041435,214,4452,4.806828391734052
209041436,229,4313,5.3095293299327615
209041437,393,8281,4.745803646902548
209041527,168,5260,3.193916349809886
209041528,154,3537,4.353972292903591
209041529,288,2906,9.910529938059188
209041530,257,3893,6.6015926021063445
209041531,207,3725,5.557046979865772
209041532,213,4084,5.215475024485798
210011226,107,2544,4.205974842767295
210011227,0,5,0.0
210011228,59,2520,2.3412698412698414
210011230,130,2297,5.659555942533739
210011231,117,2852,4.102384291725105
210011533,147,3336,4.406474820143885
210011534,154,4129,3.7297166384112375
210021232,72,4410,1.6326530612244898
210021233,19,896,2.1205357142857144
210021234,46,1474,3.1207598371777476
210021235,24,3553,0.6754855052068675
210031236,248,2158,11.492122335495829
210031237,364,3737,9.74043350280974
210031439,17,948,1.7932489451476792
210031440,102,1696,6.014150943396227
210031535,497,4195,11.847437425506556
210031536,571,2887,19.778316591617596
210031537,325,2299,14.136581122227055
210031538,496,5137,9.655440918824217
210041240,122,4617,2.642408490361707
210041539,116,1902,6.0988433228180865
210041540,214,4811,4.448139679900229
210041541,131,3902,3.357252690927729
210051242,428,3473,12.323639504750936
210051243,252,3585,7.029288702928871
210051245,152,5518,2.7546212395795577
210051246,177,7234,2.446779098700581
210051247,145,3473,4.1750647854880505
210051248,0,30,0.0
210051250,71,2106,3.3713200379867048
210051441,145,2691,5.3883314752879965
210051442,194,4071,4.765413903217882
210051443,365,6850,5.328467153284672
210051445,277,8038,3.4461308783279425
210051542,172,3148,5.463786531130877
210051543,194,3839,5.053399322740297
210051544,156,2806,5.559515324305061
210051545,152,3692,4.117009750812568
211011251,212,4161,5.09492910358087
211011254,181,5385,3.361188486536676
211011255,34,2410,1.4107883817427387
211011256,118,5373,2.1961660152614924
211011257,64,2614,2.448355011476664
211011258,70,3635,1.925722145804677
211011259,155,4151,3.7340399903637675
211011260,189,5293,3.57075382580767
211011446,347,7508,4.621736814064997
211011447,194,4508,4.303460514640639
211011448,178,5284,3.368660105980318
211011449,29,1484,1.954177897574124
211021261,139,4207,3.304017114333254
211021262,49,3012,1.6268260292164674
211031263,123,4152,2.9624277456647397
211031265,126,5636,2.2356281050390345
211031266,470,5542,8.480692890653193
211031267,330,5867,5.624680415885461
211031268,100,2671,3.7439161362785476
211031450,242,5185,4.667309546769528
211031451,187,3971,4.7091412742382275
211031452,56,1525,3.6721311475409837
211041269,174,2750,6.327272727272727
211041270,459,4606,9.96526270082501
211041271,335,3291,10.17927681555758
211041272,151,2879,5.244876693296283
211041273,161,3055,5.270049099836334
211051274,110,3026,3.6351619299405153
211051275,89,3912,2.2750511247443765
211051276,37,4413,0.8384319057330614
211051277,76,3343,2.273407119353874
211051278,194,6647,2.918609899202648
211051279,20,1903,1.0509721492380453
211051280,36,2244,1.6042780748663104
211051281,237,7790,3.042362002567394
211051282,69,2706,2.549889135254989
211051283,57,3488,1.6341743119266054
211051284,134,3110,4.308681672025724
211051285,37,2956,1.2516914749661705
211051286,60,5489,1.093095281472035
212011289,51,6262,0.8144362823379112
212011546,318,8444,3.7659876835622925
212011547,56,3436,1.629802095459837
212011548,31,3760,0.8244680851063829
212011549,140,5396,2.5945144551519648
212011550,89,2727,3.263659699303264
212011551,127,2121,5.987741631305988
212011552,430,9084,4.733597534125936
212021293,192,7129,2.693224856221069
212021295,175,3651,4.7932073404546705
212021297,148,3508,4.218928164196123
212021299,24,2764,0.8683068017366137
212021453,100,3920,2.5510204081632653
212021454,110,4191,2.6246719160104988
212021455,125,4754,2.6293647454774924
212021456,247,4958,4.981847519160952
212021553,192,5857,3.2781287348471917
212021554,130,3772,3.4464475079533403
212031300,326,7406,4.401836348906292
212031303,146,6547,2.2300290209256146
212031304,225,7998,2.813203300825206
212031306,378,6262,6.036410092622165
212031308,5,3049,0.1639881928501148
212031457,114,4631,2.4616713452817964
212031458,213,5797,3.6743143005002588
212031555,122,3489,3.4967039266265405
212031556,166,5654,2.9359745313052703
212031557,323,8129,3.9734284659859758
212031558,181,4412,4.102447869446963
212031559,131,4321,3.031705623698218
212031560,140,4160,3.3653846153846154
212031561,184,4339,4.240608435123301
212031562,198,4478,4.421616793211255
212041309,177,3409,5.1921384570255205
212041310,493,4561,10.80903310677483
212041312,319,7009,4.551291197032387
212041313,73,3342,2.184320766008378
212041316,83,2360,3.516949152542373
212041317,674,7521,8.96157425874219
212041318,201,4481,4.4856058915420665
212041459,380,4526,8.395934600088378
212041460,513,6741,7.610146862483311
212041563,650,6582,9.875417806137952
212041564,203,2890,7.024221453287197
212041565,169,5087,3.3221938274031846
212041566,156,5481,2.8461959496442253
212051319,443,5327,8.316125398911208
212051321,431,5451,7.906806090625573
212051322,494,5667,8.717134286218457
212051323,302,4072,7.416502946954813
212051324,395,5070,7.790927021696252
212051325,258,5965,4.325230511316009
212051326,681,6947,9.80279257233338
212051327,181,5201,3.4800999807729287
212051567,339,2910,11.649484536082474
212051568,786,4450,17.662921348314605
213011328,288,2277,12.648221343873518
213011329,151,3350,4.507462686567164
213011331,133,2677,4.968248038849459
213011332,133,3870,3.4366925064599485
213011333,189,3976,4.753521126760563
213011334,586,5830,10.051457975986278
213011335,559,5044,11.082474226804123
213011336,431,2877,14.980882864094545
213011337,240,3747,6.405124099279423
213011338,359,5447,6.5907839177528915
213011339,304,3923,7.7491715523833795
213011340,157,5862,2.6782668031388606
213011569,326,5393,6.044872983497126
213011570,129,2841,4.540654699049631
213021341,275,3574,7.694459988808059
213021342,301,5597,5.377881007682688
213021343,228,3945,5.779467680608365
213021344,431,4736,9.100506756756758
213021345,88,1444,6.094182825484765
213021346,275,3834,7.172665623369849
213031347,531,5890,9.01528013582343
213031348,1198,5122,23.389301054275673
213031349,354,4236,8.356940509915015
213031350,338,2230,15.156950672645738
213031351,425,3265,13.016845329249618
213031352,501,4002,12.518740629685157
213041353,226,8445,2.6761397276494967
213041358,185,6639,2.786564241602651
213041359,251,5240,4.790076335877862
213041360,234,6199,3.774802387481852
213041461,66,1764,3.741496598639456
213041462,67,1967,3.40620233858668
213041463,208,6385,3.257635082223963
213041571,96,3046,3.1516743269862113
213041572,135,2583,5.2264808362369335
213041573,13,927,1.4023732470334414
213041574,147,3379,4.350399526487126
213041575,199,5746,3.4632788026453185
213041576,93,3796,2.4499473129610116
213041577,72,2000,3.5999999999999996
213041578,269,4463,6.027335872731347
213051361,288,6086,4.732172198488334
213051362,381,5425,7.023041474654377
213051363,471,3580,13.156424581005584
213051368,250,5163,4.84214603912454
213051464,251,5341,4.699494476689758
213051466,347,4736,7.326858108108109
213051467,371,5580,6.648745519713262
213051468,392,7364,5.323193916349809
213051579,412,2889,14.260989961924542
213051580,189,4169,4.533461261693452
213051581,182,2818,6.458481192334989
213051582,188,3158,5.953134895503483
213051583,705,8876,7.942767012167643
213051584,188,2445,7.689161554192229
213051585,201,3460,5.809248554913295
213051586,163,2918,5.586017820424949
213051587,217,3047,7.121759107318675
213051588,329,5427,6.0622811866592965
213051589,246,2807,8.763804773779835
213051590,235,4142,5.673587638821825
214011370,184,8423,2.1844948355692746
214011371,309,7496,4.122198505869798
214011372,225,5804,3.876636802205376
214011373,82,5425,1.5115207373271888
214011374,117,8941,1.3085784587853708
214011375,222,5359,4.142563911177458
214011376,61,4823,1.2647729628861704
214021377,40,3748,1.0672358591248665
214021378,4,1472,0.2717391304347826
214021379,78,7824,0.9969325153374233
214021381,69,4725,1.4603174603174605
214021382,48,5592,0.8583690987124464
214021383,57,4818,1.1830635118306352
214021384,48,6013,0.7982704141027773
214021385,64,6836,0.9362200117027502
214021591,57,4491,1.2692050768203071
214021592,35,2632,1.3297872340425532
215011386,27,2773,0.9736747205192933
215011387,0,1013,0.0
215011388,22,6491,0.33893082729933754
215011389,0,1304,0.0
215011390,3,2287,0.13117621337997376
215011391,4,1168,0.3424657534246575
215011392,19,2897,0.6558508802209182
215011393,0,889,0.0
215011394,4,2033,0.1967535661583866
215021395,21,3123,0.6724303554274735
215021396,13,1734,0.7497116493656286
215021398,14,1332,1.0510510510510511
215021399,24,2227,1.0776829815895825
215021469,40,6278,0.6371455877668047
215021470,27,6093,0.4431314623338257
215031400,9,2039,0.4413928396272682
215031401,7,2273,0.3079630444346678
215031402,3,1219,0.2461033634126333
215031403,59,1359,4.341427520235467
215031404,11,4490,0.24498886414253898
215031405,50,2515,1.9880715705765408
216011406,16,5722,0.27962250961202373
216011407,6,3921,0.1530221882172915
216011408,3,1426,0.21037868162692847
216011409,3,1319,0.22744503411675512
216011410,0,1249,0.0
216021411,5,2148,0.23277467411545624
216021412,0,979,0.0
216021413,7,4355,0.16073478760045926
216021414,3,2711,0.11066027296200663
216031415,9,2758,0.3263234227701233
216031416,59,7615,0.7747866053841104
216031418,8,1548,0.516795865633075
216031419,4,3563,0.11226494527083919
216031593,11,3591,0.3063213589529379
216031594,25,5257,0.4755564009891573
217011420,4,3041,0.1315356790529431
217011421,9,3835,0.2346805736636245
217011422,3,3880,0.07731958762886598
217011423,5,2033,0.24594195769798327
217031471,5,1191,0.41981528127623846
217031472,11,4886,0.2251330331559558
217031473,8,2059,0.38853812530354537
217031474,0,1806,0.0
217031475,0,2614,0.0
217031476,6,1158,0.5181347150259068
217041477,7,2522,0.2775574940523394
217041478,18,3439,0.5234079674323932
217041479,46,8826,0.5211874008610922
217041480,40,5075,0.7881773399014778
297979799,0,15,0.0
299999499,105,1176,8.928571428571429
